lat,lon,alt,dt,ts
41.176654,-73.186676,14.08707,2015-01-23 20:58:23,1422046703
41.176616,-73.186646,15.47617,2015-01-23 20:59:13,1422046753
41.176429,-73.18657,15.433414,2015-01-23 20:59:14,1422046754
41.176391,-73.186556,15.215549,2015-01-23 20:59:15,1422046755
41.176209,-73.186509,14.30106,2015-01-23 20:59:16,1422046756
41.176031,-73.186517,14.374393,2015-01-23 20:59:17,1422046757
41.175916,-73.186501,13.930363,2015-01-23 20:59:18,1422046758
41.175737,-73.186443,12.97916,2015-01-23 20:59:19,1422046759
41.175551,-73.18625,14.243595,2015-01-23 20:59:20,1422046760
41.175413,-73.186226,14.251286,2015-01-23 20:59:21,1422046761
41.175286,-73.18624,13.388798,2015-01-23 20:59:22,1422046762
41.175232,-73.186169,16.801365,2015-01-23 20:59:23,1422046763
41.175117,-73.186121,17.53931,2015-01-23 20:59:24,1422046764
41.17503,-73.18609,17.491611,2015-01-23 20:59:25,1422046765
41.174942,-73.186056,17.461002,2015-01-23 20:59:26,1422046766
41.174834,-73.186001,17.524479,2015-01-23 20:59:27,1422046767
41.174743,-73.185956,17.475681,2015-01-23 20:59:28,1422046768
41.174655,-73.186002,17.494572,2015-01-23 20:59:29,1422046769
41.174565,-73.185991,17.454563,2015-01-23 20:59:30,1422046770
41.174464,-73.18598,17.399387,2015-01-23 20:59:31,1422046771
41.174371,-73.185964,17.238499,2015-01-23 20:59:32,1422046772
41.174278,-73.185946,17.158939,2015-01-23 20:59:33,1422046773
41.174194,-73.185932,16.992344,2015-01-23 20:59:34,1422046774
41.174062,-73.185886,17.283848,2015-01-23 20:59:35,1422046775
41.173966,-73.185874,17.222263,2015-01-23 20:59:36,1422046776
41.173929,-73.185876,17.221079,2015-01-23 20:59:37,1422046777
41.173828,-73.185872,16.594055,2015-01-23 20:59:38,1422046778
41.173711,-73.185863,16.51753,2015-01-23 20:59:39,1422046779
41.173593,-73.185854,16.473972,2015-01-23 20:59:40,1422046780
41.173481,-73.185833,16.464458,2015-01-23 20:59:41,1422046781
41.173375,-73.185815,16.420029,2015-01-23 20:59:42,1422046782
41.173274,-73.185798,16.362713,2015-01-23 20:59:43,1422046783
41.173155,-73.185781,16.33659,2015-01-23 20:59:44,1422046784
41.173042,-73.185825,16.195919,2015-01-23 20:59:45,1422046785
41.172936,-73.185845,16.078686,2015-01-23 20:59:46,1422046786
41.172829,-73.185861,15.984938,2015-01-23 20:59:47,1422046787
41.172666,-73.185892,15.885564,2015-01-23 20:59:48,1422046788
41.172474,-73.185925,17.570072,2015-01-23 20:59:49,1422046789
41.172409,-73.185947,17.478306,2015-01-23 20:59:50,1422046790
41.172305,-73.185985,17.471836,2015-01-23 20:59:51,1422046791
41.172199,-73.186025,17.474949,2015-01-23 20:59:53,1422046793
41.172118,-73.186054,17.579655,2015-01-23 20:59:54,1422046794
41.172017,-73.186099,17.475681,2015-01-23 20:59:55,1422046795
41.17186,-73.186263,16.588017,2015-01-23 20:59:56,1422046796
41.171682,-73.18643,16.003269,2015-01-23 20:59:57,1422046797
41.171522,-73.186463,15.65134,2015-01-23 20:59:58,1422046798
41.171413,-73.186577,15.393803,2015-01-23 20:59:59,1422046799
41.171268,-73.186666,14.093266,2015-01-23 21:00:00,1422046800
41.171053,-73.186683,6.072361,2015-01-23 21:00:01,1422046801
41.170994,-73.186744,5.937504,2015-01-23 21:00:02,1422046802
41.170987,-73.186845,10.089237,2015-01-23 21:00:03,1422046803
41.170896,-73.186953,9.683567,2015-01-23 21:00:04,1422046804
41.170864,-73.187047,4.169956,2015-01-23 21:00:05,1422046805
41.170935,-73.187117,12.768009,2015-01-23 21:00:06,1422046806
41.170858,-73.187247,11.806614,2015-01-23 21:00:07,1422046807
41.17079,-73.187357,11.780399,2015-01-23 21:00:08,1422046808
41.170722,-73.187468,11.750584,2015-01-23 21:00:09,1422046809
41.170646,-73.18756,11.22916,2015-01-23 21:00:10,1422046810
41.170565,-73.18767,10.808109,2015-01-23 21:00:11,1422046811
41.170445,-73.187822,9.341892,2015-01-23 21:00:12,1422046812
41.170375,-73.187958,8.02216,2015-01-23 21:00:13,1422046813
41.170271,-73.188113,7.110905,2015-01-23 21:00:14,1422046814
41.170225,-73.18818,6.632786,2015-01-23 21:00:15,1422046815
41.170151,-73.188363,7.418072,2015-01-23 21:00:21,1422046821
41.170117,-73.188495,7.873041,2015-01-23 21:00:22,1422046822
41.170085,-73.188611,8.114029,2015-01-23 21:00:23,1422046823
41.170032,-73.188744,8.262292,2015-01-23 21:00:24,1422046824
41.169998,-73.188857,8.257859,2015-01-23 21:00:25,1422046825
41.169967,-73.188966,8.270164,2015-01-23 21:00:26,1422046826
41.169929,-73.189077,8.30531,2015-01-23 21:00:27,1422046827
41.169888,-73.189189,8.332292,2015-01-23 21:00:28,1422046828
41.169829,-73.189355,8.458852,2015-01-23 21:00:29,1422046829
41.169816,-73.18942,8.520002,2015-01-23 21:00:30,1422046830
41.169807,-73.189447,8.572634,2015-01-23 21:00:31,1422046831
41.169768,-73.189531,8.620627,2015-01-23 21:00:32,1422046832
41.169719,-73.189638,8.679912,2015-01-23 21:00:33,1422046833
41.169673,-73.189739,8.722441,2015-01-23 21:00:34,1422046834
41.169627,-73.189839,8.740621,2015-01-23 21:00:35,1422046835
41.169185,-73.190745,8.802564,2015-01-23 21:00:45,1422046845
41.169046,-73.191218,8.853618,2015-01-23 21:00:46,1422046846
41.168983,-73.191439,8.899697,2015-01-23 21:00:47,1422046847
41.168951,-73.191549,8.943542,2015-01-23 21:00:48,1422046848
41.168935,-73.191605,8.985291,2015-01-23 21:00:49,1422046849
41.169022,-73.191829,9.025271,2015-01-23 21:00:50,1422046850
41.169046,-73.191892,9.063724,2015-01-23 21:00:51,1422046851
41.169058,-73.191924,9.100324,2015-01-23 21:00:52,1422046852
41.169064,-73.191939,9.135888,2015-01-23 21:00:53,1422046853
41.169069,-73.191951,9.292406,2015-01-23 21:00:55,1422046855
41.16905,-73.192014,9.392337,2015-01-23 21:00:56,1422046856
41.169379,-73.193801,16.258549,2015-01-23 21:00:57,1422046857
41.169332,-73.193938,16.845158,2015-01-23 21:00:58,1422046858
41.169264,-73.194122,16.911503,2015-01-23 21:00:59,1422046859
41.16924,-73.194238,17.341038,2015-01-23 21:01:00,1422046860
41.169224,-73.194346,17.644657,2015-01-23 21:01:01,1422046861
41.169209,-73.194456,17.717319,2015-01-23 21:01:02,1422046862
41.169171,-73.194565,17.776615,2015-01-23 21:01:03,1422046863
41.169145,-73.194677,17.676151,2015-01-23 21:01:07,1422046867
41.169125,-73.194834,18.32053,2015-01-23 21:01:08,1422046868
41.169107,-73.19492,18.438206,2015-01-23 21:01:09,1422046869
41.169091,-73.194994,18.572727,2015-01-23 21:01:10,1422046870
41.169272,-73.19585,17.64716,2015-01-23 21:01:11,1422046871
41.169278,-73.196068,21.9491,2015-01-23 21:01:12,1422046872
41.169248,-73.196235,21.935123,2015-01-23 21:01:13,1422046873
41.169247,-73.196447,25.109592,2015-01-23 21:01:14,1422046874
41.169218,-73.196619,25.128483,2015-01-23 21:01:15,1422046875
41.169191,-73.196798,24.669865,2015-01-23 21:01:16,1422046876
41.169162,-73.196974,24.685551,2015-01-23 21:01:17,1422046877
41.16914,-73.19717,25.433109,2015-01-23 21:01:18,1422046878
41.169117,-73.197215,25.431816,2015-01-23 21:01:23,1422046883
41.169098,-73.197262,24.982704,2015-01-23 21:01:24,1422046884
41.169069,-73.197336,24.711752,2015-01-23 21:01:27,1422046887
41.169044,-73.197419,24.614721,2015-01-23 21:01:28,1422046888
41.169019,-73.197505,24.503918,2015-01-23 21:01:29,1422046889
41.169013,-73.197525,24.432985,2015-01-23 21:01:30,1422046890
41.169006,-73.19755,24.383514,2015-01-23 21:01:31,1422046891
41.168997,-73.197582,24.284986,2015-01-23 21:01:32,1422046892
41.168989,-73.197612,24.209591,2015-01-23 21:01:33,1422046893
41.168981,-73.197649,24.162483,2015-01-23 21:01:34,1422046894
41.168972,-73.197695,24.121038,2015-01-23 21:01:35,1422046895
41.168961,-73.197751,24.085106,2015-01-23 21:01:36,1422046896
41.168575,-73.200933,24.150513,2015-01-23 21:02:01,1422046921
41.168356,-73.202736,24.19558,2015-01-23 21:02:02,1422046922
41.168242,-73.203855,24.247467,2015-01-23 21:02:03,1422046923
41.168179,-73.204478,24.28713,2015-01-23 21:02:04,1422046924
41.168146,-73.204812,24.318399,2015-01-23 21:02:05,1422046925
41.168127,-73.204994,24.343462,2015-01-23 21:02:06,1422046926
41.168104,-73.20514,24.29907,2015-01-23 21:02:09,1422046929
41.168078,-73.205322,24.281361,2015-01-23 21:02:10,1422046930
41.168061,-73.205597,24.211843,2015-01-23 21:02:11,1422046931
41.16794,-73.207439,23.982698,2015-01-23 21:02:12,1422046932
41.167863,-73.209819,23.73395,2015-01-23 21:02:13,1422046933
41.167837,-73.210623,23.515106,2015-01-23 21:02:14,1422046934
41.167808,-73.211228,23.317375,2015-01-23 21:02:15,1422046935
41.167808,-73.211905,23.142302,2015-01-23 21:02:16,1422046936
41.167822,-73.212252,22.894758,2015-01-23 21:02:17,1422046937
41.167831,-73.212391,22.676727,2015-01-23 21:02:18,1422046938
41.167836,-73.21246,22.485563,2015-01-23 21:02:19,1422046939
41.167858,-73.212674,18.957462,2015-01-23 21:02:20,1422046940
41.167847,-73.212925,18.949802,2015-01-23 21:02:21,1422046941
41.167829,-73.213339,18.9426,2015-01-23 21:02:22,1422046942
41.167823,-73.213474,18.942593,2015-01-23 21:02:23,1422046943
41.167783,-73.21403,19.966125,2015-01-23 21:02:24,1422046944
41.167716,-73.214679,20.346684,2015-01-23 21:02:25,1422046945
41.167685,-73.215404,20.509756,2015-01-23 21:02:26,1422046946
41.167687,-73.216192,20.889595,2015-01-23 21:02:27,1422046947
41.167678,-73.217008,21.285126,2015-01-23 21:02:28,1422046948
41.167661,-73.217825,21.589746,2015-01-23 21:02:29,1422046949
41.167594,-73.218764,23.274876,2015-01-23 21:02:30,1422046950
41.167566,-73.219206,23.290989,2015-01-23 21:02:31,1422046951
41.167541,-73.219638,23.277988,2015-01-23 21:02:32,1422046952
41.167527,-73.220064,23.250034,2015-01-23 21:02:33,1422046953
41.167556,-73.220439,22.746738,2015-01-23 21:02:34,1422046954
41.167408,-73.220841,25.466801,2015-01-23 21:02:35,1422046955
41.167354,-73.221216,25.542454,2015-01-23 21:02:36,1422046956
41.167308,-73.221653,25.655491,2015-01-23 21:02:37,1422046957
41.167279,-73.222058,23.14185,2015-01-23 21:02:38,1422046958
41.167236,-73.222472,23.663975,2015-01-23 21:02:39,1422046959
41.167209,-73.222729,23.373569,2015-01-23 21:02:40,1422046960
41.167167,-73.223114,23.130436,2015-01-23 21:02:41,1422046961
41.167104,-73.223152,23.073307,2015-01-23 21:02:42,1422046962
41.167063,-73.223501,22.947636,2015-01-23 21:02:43,1422046963
41.166941,-73.223729,25.062077,2015-01-23 21:02:44,1422046964
41.166748,-73.2241,24.278843,2015-01-23 21:02:45,1422046965
41.166312,-73.224423,23.436039,2015-01-23 21:02:46,1422046966
41.166128,-73.224838,17.544346,2015-01-23 21:02:47,1422046967
41.166296,-73.22506,24.223728,2015-01-23 21:02:48,1422046968
41.166216,-73.225411,23.397038,2015-01-23 21:02:49,1422046969
41.166165,-73.225604,23.845676,2015-01-23 21:02:50,1422046970
41.166022,-73.225897,25.36475,2015-01-23 21:02:51,1422046971
41.165966,-73.226124,26.516544,2015-01-23 21:02:52,1422046972
41.16573,-73.226812,27.256809,2015-01-23 21:02:53,1422046973
41.165595,-73.227242,30.525639,2015-01-23 21:02:54,1422046974
41.165508,-73.227592,30.32584,2015-01-23 21:02:55,1422046975
41.16533,-73.227886,29.931034,2015-01-23 21:02:56,1422046976
41.16516,-73.228139,10.165745,2015-01-23 21:02:57,1422046977
41.165043,-73.228475,9.786655,2015-01-23 21:02:58,1422046978
41.164919,-73.228722,11.602573,2015-01-23 21:02:59,1422046979
41.164781,-73.229029,10.83466,2015-01-23 21:03:00,1422046980
41.164587,-73.229309,10.965122,2015-01-23 21:03:01,1422046981
41.164442,-73.229598,10.235477,2015-01-23 21:03:02,1422046982
41.164406,-73.229717,15.08997,2015-01-23 21:03:03,1422046983
41.164249,-73.230021,14.179935,2015-01-23 21:03:04,1422046984
41.164043,-73.230236,12.158512,2015-01-23 21:03:05,1422046985
41.163845,-73.230459,11.51981,2015-01-23 21:03:06,1422046986
41.1637,-73.230744,8.82523,2015-01-23 21:03:07,1422046987
41.163536,-73.230927,13.219608,2015-01-23 21:03:08,1422046988
41.163407,-73.231244,7.584049,2015-01-23 21:03:09,1422046989
41.163235,-73.231472,7.616489,2015-01-23 21:03:10,1422046990
41.163066,-73.231693,5.601048,2015-01-23 21:03:11,1422046991
41.16295,-73.231972,5.266453,2015-01-23 21:03:12,1422046992
41.162773,-73.232151,4.956913,2015-01-23 21:03:13,1422046993
41.162593,-73.232349,1.337101,2015-01-23 21:03:14,1422046994
41.162432,-73.232563,1.091068,2015-01-23 21:03:15,1422046995
41.162266,-73.232774,-0.982265,2015-01-23 21:03:16,1422046996
41.162107,-73.232983,-1.780849,2015-01-23 21:03:17,1422046997
41.161915,-73.233084,-5.85693,2015-01-23 21:03:18,1422046998
41.161599,-73.233432,-5.965267,2015-01-23 21:03:20,1422047000
41.16128,-73.233975,-7.798061,2015-01-23 21:03:29,1422047009
41.161218,-73.234063,-7.755093,2015-01-23 21:03:30,1422047010
41.161115,-73.234201,-7.778988,2015-01-23 21:03:31,1422047011
41.161006,-73.234412,-8.599819,2015-01-23 21:03:32,1422047012
41.160905,-73.234559,-8.642117,2015-01-23 21:03:33,1422047013
41.160763,-73.234739,-8.246395,2015-01-23 21:03:34,1422047014
41.16072,-73.234795,-8.258785,2015-01-23 21:03:35,1422047015
41.160706,-73.234817,-8.199086,2015-01-23 21:03:41,1422047021
41.160697,-73.234831,-8.202897,2015-01-23 21:03:42,1422047022
41.160686,-73.234847,-8.217037,2015-01-23 21:03:43,1422047023
41.160676,-73.234863,-8.232672,2015-01-23 21:03:44,1422047024
41.160661,-73.234886,-8.27762,2015-01-23 21:03:45,1422047025
41.160646,-73.234908,-8.317934,2015-01-23 21:03:46,1422047026
41.160632,-73.234929,-8.35555,2015-01-23 21:03:47,1422047027
41.16062,-73.234949,-8.388582,2015-01-23 21:03:48,1422047028
41.160607,-73.234967,-8.405453,2015-01-23 21:03:49,1422047029
41.160596,-73.234985,-8.418325,2015-01-23 21:03:50,1422047030
41.160582,-73.235004,-8.40811,2015-01-23 21:04:00,1422047040
41.160569,-73.235023,-8.398548,2015-01-23 21:04:01,1422047041
41.160559,-73.235037,-8.382695,2015-01-23 21:04:02,1422047042
41.160549,-73.23505,-8.356604,2015-01-23 21:04:03,1422047043
41.16054,-73.235063,-8.3319,2015-01-23 21:04:04,1422047044
41.160532,-73.235075,-8.309422,2015-01-23 21:04:05,1422047045
41.160522,-73.235091,-8.258114,2015-01-23 21:04:07,1422047047
41.160513,-73.235104,-8.21445,2015-01-23 21:04:09,1422047049
41.160505,-73.235117,-8.183367,2015-01-23 21:04:11,1422047051
41.160509,-73.235537,-8.170313,2015-01-23 21:04:43,1422047083
41.157121,-73.239908,-8.218622,2015-01-23 21:04:59,1422047099
41.156083,-73.241239,-8.2623,2015-01-23 21:05:00,1422047100
41.155468,-73.242034,-8.302691,2015-01-23 21:05:01,1422047101
41.154945,-73.242687,-8.402366,2015-01-23 21:05:02,1422047102
41.154485,-73.243263,-8.491442,2015-01-23 21:05:03,1422047103
41.154273,-73.243542,-8.573334,2015-01-23 21:05:04,1422047104
41.154069,-73.243796,-8.658328,2015-01-23 21:05:05,1422047105
41.153858,-73.24403,-8.791229,2015-01-23 21:05:06,1422047106
41.15372,-73.244186,-8.890511,2015-01-23 21:05:07,1422047107
41.153567,-73.244376,-8.985989,2015-01-23 21:05:08,1422047108
41.153453,-73.244595,-9.030818,2015-01-23 21:05:09,1422047109
41.153316,-73.244811,-9.076447,2015-01-23 21:05:10,1422047110
41.153168,-73.245082,-9.1161,2015-01-23 21:05:11,1422047111
41.153143,-73.24515,-9.153654,2015-01-23 21:05:12,1422047112
41.153124,-73.245204,-9.19188,2015-01-23 21:05:13,1422047113
41.153108,-73.245247,-9.22869,2015-01-23 21:05:14,1422047114
41.153096,-73.245281,-9.247772,2015-01-23 21:05:15,1422047115
41.152992,-73.245409,-9.26719,2015-01-23 21:05:16,1422047116
41.152318,-73.245917,-9.373302,2015-01-23 21:05:17,1422047117
41.152023,-73.24613,-9.477081,2015-01-23 21:05:18,1422047118
41.151849,-73.246253,-9.572707,2015-01-23 21:05:19,1422047119
41.151763,-73.24634,-9.72683,2015-01-23 21:05:20,1422047120
41.151649,-73.246439,-9.877992,2015-01-23 21:05:21,1422047121
41.151471,-73.246622,-12.634853,2015-01-23 21:05:22,1422047122
41.151438,-73.246675,-12.873074,2015-01-23 21:05:23,1422047123
41.151414,-73.246685,-13.008155,2015-01-23 21:05:25,1422047125
41.151399,-73.246692,-13.056324,2015-01-23 21:05:26,1422047126
