id,state_id,city,klan_number,nickname,notes,latitude,longitude,year
1,61,Birmingham,1,R. E. Lee Klan,may be the oldest functioning Klan in the Invisible Empire,33.5206608,-86.80249,1924
2,61,Bessemer,2,Niles Burnett Klan,No Notes,33.4017766,-86.954437,1926
3,61,Montgomery,3,Not Named,No Notes,32.3668052,-86.2999689,1923
4,61,Anniston,4,Not Named,No Notes,33.6598257,-85.8316318,1924
5,61,Birmingham,6,Nathan Bedford Forrest Klan,No Notes,33.5206608,-86.80249,1924
6,61,Huntsville,9,Not Named,No Notes,34.7303688,-86.5861037,1931
7,61,Mobile,11,Not Named,No Notes,30.6953657,-88.0398912,1931
8,61,Stevenson,12,Not Named,No Notes,34.8686932,-85.8394199,1923
9,61,Tuscaloosa,14,Jack Jolly Klan,No Notes,33.2098407,-87.5691735,1923
10,61,Sumpter,24,Not Named,No Notes,32.6155551,-88.2461183,1924
11,61,Ensley,31,Not Named,No Notes,33.5089695,-86.8997918,1924
12,61,Vincent,34,Not Named,No Notes,33.3845537,-86.411924,1923
13,61,Jasper,43,Joe Wheeler Klan,No Notes,33.8312185,-87.2775053,1926
14,61,Luverne,51,Not Named,No Notes,31.7165455,-86.2638492,1923
15,61,Louisville,57,Not Named,No Notes,31.7834963,-85.5557751,1923
16,61,Birmingham,59,Avondale Park Klan,No Notes,33.5206608,-86.80249,1923
17,61,Birmingham,60,Nathan Bedford Forrest Klan,"will break ground on $75,000 Klavern on 15 October 1924.",33.5206608,-86.80249,1923
18,61,Sheffield,63,Stonewall Jackson Klan,No Notes,34.7650887,-87.6986407,1923
19,61,Oneonta,66,Not Named,No Notes,33.9481537,-86.472764,1923
20,61,Eufala,68,Not Named,No Notes,31.8912717,-85.1454876,1924
21,61,Akron,71,Not Named,No Notes,32.8765165,-87.7425105,1923
22,61,Florence,73,Not Named,No Notes,34.79981,-87.677251,1923
23,61,Phoenix City,77,Not Named,No Notes,32.4709761,-85.0007653,1923
24,61,Auburn,84,James H. Lane Klan,No Notes,32.6098566,-85.4807825,1923
25,61,Athens,86,Not Named,No Notes,34.8028661,-86.9716741,1923
26,61,Scottsboro,92,Not Named,No Notes,34.6723069,-86.0341463,1924
27,61,Mobile,108,Not Named,No Notes,30.6953657,-88.0398912,1924
28,61,Collinsville,125,Not Named,No Notes,34.2639821,-85.8605251,1931
29,61,Pisgah,133,Not Named,No Notes,34.685022,-85.846575,1924
30,61,Edwardsville,141,Hopewell Klan,No Notes,33.7073272,-85.5091235,1929
31,61,Florala,144,Not Named,No Notes,31.007712,-86.324957,1925
32,61,Foley,186,Not Named,No Notes,30.4065868,-87.6835974,1929
33,61,Bessemer,0,Miles Burnett Klan,No Notes,33.4017766,-86.954437,1924
34,62,Anchorage,1,Mt. McKinley Klan,No Notes,61.2180556,-149.9002778,1926
35,62,Juneau,2,Not Named,Mount Juneau Klan gets charter,58.3019444,-134.4197222,1926
36,62,Ketchikan,3,Not Named,No Notes,55.3422222,-131.6461111,1926
37,62,Cordova,4,Not Named,No Notes,60.5424087,-145.7525414,1931
38,62,Petersburg,5,Not Named,No Notes,56.8125,-132.9555556,1931
39,62,Fairbanks,6,Not Named,No Notes,64.8377778,-147.7163889,1931
40,62,Seward,8,Not Named,No Notes,60.1041667,-149.4422222,1931
41,62,Skagway,9,Not Named,No Notes,59.4583333,-135.3138889,1931
42,62,Wrangell,10,Not Named,No Notes,56.4708333,-132.3766666,1931
43,62,Haines,11,Not Named,No Notes,59.2358333,-135.445,1931
54,63,Tucson,2,Not Named,No Notes,32.2217429,-110.926479,1924
55,63,Yuma,5,Not Named,No Notes,32.6926512,-114.6276916,1923
56,63,Grand Canyon,9,Kanyon Klan,No Notes,36.0544445,-112.1401108,1927
57,63,Winslow,11,Moqui Klan,No Notes,35.0241873,-110.6973571,1924
58,63,Prescott,14,Not Named,No Notes,34.5400242,-112.4685025,1924
59,63,Bisbee,15,Not Named,No Notes,31.4481547,-109.9284084,1923
60,63,Tombstone,20,Cochise Klan,No Notes,31.7128683,-110.0675764,1924
61,63,Ajo,21,Not Named,No Notes,32.3717248,-112.8607099,1931
62,63,Phoenix,22,Not Named,"Jackson, 185",33.4483771,-112.0740373,1926
63,63,Douglas,25,Not Named,chartered 1926,31.3445471,-109.5453447,1931
64,63,Benson,26,Strongholt [sic] Klan,No Notes,31.9678611,-110.2945174,1927
65,63,Hayden,0,Not Named,No Notes,33.0047878,-110.7853836,1923
66,63,Douglas,0,Douglas Provisional Klan,No Notes,31.345,-109.541389,1923
83,110,Little Rock,1,Kamelia Kourt No. 1,loyal to Simmons,34.7464809,-92.2895948,1923
84,110,Bentonville,1,Not Named,No Notes,36.3728538,-94.2088172,1922
85,110,Mena,1,Not Named,"See No. 90,received charter",34.5862171,-94.2396554,1922
86,110,Little Rock,1,Not Named,No Notes,34.7464809,-92.2895948,1930
87,110,Arkansas City,3,Not Named,No Notes,33.6087222,-91.2067794,1923
88,110,Helena,3,Not Named,No Notes,34.5291253,-90.5900273,1924
89,110,Benton,4,Not Named,No Notes,34.5645371,-92.586828,1922
90,110,Malvern,4,Not Named,No Notes,34.3623149,-92.8129462,1923
91,110,Hot Springs,7,Not Named,No Notes,34.5037004,-93.0551795,1922
92,110,Hope,8,Hempstead County Klan,No Notes,33.6670615,-93.5915665,1922
93,110,Prescott,9,Not Named,No Notes,33.8026107,-93.3810057,1922
94,110,Parkdale,10,Not Named,No Notes,33.1215116,-91.5456761,1923
95,110,Bald Knob,11,Bald Knob Klan,No Notes,35.3098066,-91.5679114,1923
96,110,Newport,12,Stephens Klan,No Notes,35.6048018,-91.2817951,1922
