lat,lon,alt,date,device,os,version
40.7166557312,-73.9583358765,0,2015-01-24 18:44:16,"iPhone3,1",7.1.2,1.1
40.7176094055,-73.9599838257,0,2015-01-24 18:44:16,"iPhone3,1",7.1.2,1.1
40.7176094055,-73.9599838257,0,2015-01-24 18:46:24,"iPhone3,1",7.1.2,1.1
40.7167472839,-73.9584884644,0,2015-01-24 18:59:12,"iPhone3,1",7.1.2,1.1
40.7166557312,-73.9583358765,0,2015-01-25 00:00:00,"iPhone3,1",7.1.2,1.1
40.7166519165,-73.9583358765,0,2015-01-25 05:54:08,"iPhone3,1",7.1.2,1.1
40.7318267822,-73.9871368408,0,2015-01-25 22:11:12,"iPhone3,1",7.1.2,1.1
40.7240905762,-73.9755859375,0,2015-01-26 01:48:48,"iPhone3,1",7.1.2,1.1
40.7167282104,-73.9583053589,0,2015-01-26 01:55:12,"iPhone3,1",7.1.2,1.1
40.7166557312,-73.9583358765,0,2015-01-26 19:46:08,"iPhone3,1",7.1.2,1.1
40.7166595459,-73.9583358765,0,2015-01-28 13:47:44,"iPhone3,1",7.1.2,1.1
40.7358169556,-73.9925231934,0,2015-01-28 15:49:20,"iPhone3,1",7.1.2,1.1
40.7089233398,-73.9876480103,0,2015-01-28 16:36:16,"iPhone3,1",7.1.2,1.1
40.6825447083,-73.9770050049,0,2015-01-28 16:46:56,"iPhone3,1",7.1.2,1.1
40.675365448,-73.9805374146,0,2015-01-28 17:21:04,"iPhone3,1",7.1.2,1.1
40.69739151,-73.9702301025,0,2015-01-28 19:05:36,"iPhone3,1",7.1.2,1.1
40.69739151,-73.9702301025,0,2015-01-28 19:07:44,"iPhone3,1",7.1.2,1.1
40.7171897888,-73.9584884644,0,2015-01-28 19:09:52,"iPhone3,1",7.1.2,1.1
40.7165565491,-73.9582901001,0,2015-01-28 23:13:04,"iPhone3,1",7.1.2,1.1
40.7166442871,-73.9583282471,0,2015-01-28 23:23:44,"iPhone3,1",7.1.2,1.1
40.7355766296,-73.9923171997,0,2015-01-29 15:00:16,"iPhone3,1",7.1.2,1.1
40.7217521667,-74.0010528564,0,2015-01-29 15:21:36,"iPhone3,1",7.1.2,1.1
40.7193717957,-73.9619827271,0,2015-01-29 16:21:20,"iPhone3,1",7.1.2,1.1
40.7166061401,-73.9583129883,0,2015-01-29 18:22:56,"iPhone3,1",7.1.2,1.1
40.7166442871,-73.9583282471,0,2015-01-29 21:49:52,"iPhone3,1",7.1.2,1.1
40.7166557312,-73.9583358765,0,2015-01-29 21:52:00,"iPhone3,1",7.1.2,1.1
40.7166557312,-73.9583358765,0,2015-01-30 11:20:32,"iPhone3,1",7.1.2,1.1
40.7213020325,-73.9820556641,0,2015-01-30 15:13:04,"iPhone3,1",7.1.2,1.1
40.7185440063,-74.0031814575,0,2015-01-30 15:19:28,"iPhone3,1",7.1.2,1.1
40.7180137634,-73.9697570801,0,2015-01-30 21:32:48,"iPhone3,1",7.1.2,1.1
40.7165565491,-73.9582901001,0,2015-01-31 11:48:16,"iPhone3,1",7.1.2,1.1
40.7160568237,-73.9571685791,0,2015-01-31 20:50:08,"iPhone3,1",7.1.2,1.1
40.7039909363,-73.9643173218,0,2015-01-31 21:02:56,"iPhone3,1",7.1.2,1.1
40.6788330078,-73.9771728516,0,2015-01-31 21:17:52,"iPhone3,1",7.1.2,1.1
40.6830101013,-73.9766693115,0,2015-01-31 22:32:32,"iPhone3,1",7.1.2,1.1
40.6966400146,-73.9699249268,0,2015-01-31 23:13:04,"iPhone3,1",7.1.2,1.1
40.7084350586,-73.9630737305,0,2015-01-31 23:45:04,"iPhone3,1",7.1.2,1.1
40.7198524475,-73.9710845947,0,2015-02-01 00:06:24,"iPhone3,1",7.1.2,1.1
40.7521934509,-73.9858169556,0,2015-02-01 00:17:04,"iPhone3,1",7.1.2,1.1
40.7731018066,-73.9849700928,0,2015-02-01 00:29:52,"iPhone3,1",7.1.2,1.1
40.7794837952,-73.985206604,0,2015-02-01 00:32:00,"iPhone3,1",7.1.2,1.1
40.7543449402,-73.9859848022,0,2015-02-01 03:22:40,"iPhone3,1",7.1.2,1.1
40.7377548218,-73.9930648804,0,2015-02-01 03:37:36,"iPhone3,1",7.1.2,1.1
40.7303771973,-73.9806900024,0,2015-02-01 03:54:40,"iPhone3,1",7.1.2,1.1
40.7165489197,-73.9582672119,0,2015-02-01 04:03:12,"iPhone3,1",7.1.2,1.1
40.7166290283,-73.9583282471,0,2015-02-01 16:04:16,"iPhone3,1",7.1.2,1.1
40.6947784424,-73.9817657471,9.1303768158,2015-02-01 19:18:24,"iPhone3,1",7.1.2,1.1
40.6790924072,-73.9772186279,9.1303768158,2015-02-01 19:24:48,"iPhone3,1",7.1.2,1.1
